timestamp,value
2026-06-08T00:00:00Z,42
2026-06-08T06:00:00Z,40
2026-06-08T12:00:00Z,44
2026-06-08T18:00:00Z,47
2026-06-09T00:00:00Z,46
2026-06-09T06:00:00Z,42
2026-06-09T12:00:00Z,40
2026-06-09T18:00:00Z,44
2026-06-10T00:00:00Z,47
2026-06-10T06:00:00Z,46
2026-06-10T12:00:00Z,42
2026-06-10T18:00:00Z,40
2026-06-11T00:00:00Z,44
2026-06-11T06:00:00Z,47
2026-06-11T12:00:00Z,46
2026-06-11T18:00:00Z,42
2026-06-12T00:00:00Z,40
2026-06-12T06:00:00Z,44
2026-06-12T12:00:00Z,47
2026-06-12T18:00:00Z,46
2026-06-13T00:00:00Z,42
2026-06-13T06:00:00Z,40
2026-06-13T12:00:00Z,44
2026-06-13T18:00:00Z,47
2026-06-14T00:00:00Z,46
2026-06-14T06:00:00Z,42
2026-06-14T12:00:00Z,40
2026-06-14T18:00:00Z,44
2026-06-15T00:00:00Z,47
2026-06-15T06:00:00Z,46
2026-06-15T12:00:00Z,42
2026-06-15T16:00:00Z,42
2026-06-15T16:02:00Z,43
2026-06-15T16:04:00Z,44
2026-06-15T16:06:00Z,45
2026-06-15T16:08:00Z,45
2026-06-15T16:10:00Z,45
2026-06-15T16:12:00Z,45
2026-06-15T16:14:00Z,45
2026-06-15T16:16:00Z,44
2026-06-15T16:18:00Z,43
2026-06-15T16:20:00Z,43
2026-06-15T16:22:00Z,42
2026-06-15T16:24:00Z,41
2026-06-15T16:26:00Z,40
2026-06-15T16:28:00Z,40
2026-06-15T16:30:00Z,40
2026-06-15T16:32:00Z,40
2026-06-15T16:34:00Z,40
2026-06-15T16:36:00Z,41
2026-06-15T16:38:00Z,42
2026-06-15T16:40:00Z,42
2026-06-15T16:42:00Z,43
2026-06-15T16:44:00Z,44
2026-06-15T16:46:00Z,45
2026-06-15T16:48:00Z,45
2026-06-15T16:50:00Z,45
2026-06-15T16:52:00Z,45
2026-06-15T16:54:00Z,45
2026-06-15T16:56:00Z,44
2026-06-15T18:00:00Z,40
2026-06-16T00:00:00Z,44
2026-06-16T06:00:00Z,47
2026-06-16T12:00:00Z,46
2026-06-16T18:00:00Z,42
