timestamp,value
2026-06-08T00:00:00Z,0.1
2026-06-08T06:00:00Z,0.1
2026-06-08T12:00:00Z,0.1
2026-06-08T18:00:00Z,0.1
2026-06-09T00:00:00Z,0.1
2026-06-09T06:00:00Z,0.1
2026-06-09T12:00:00Z,0.1
2026-06-09T18:00:00Z,0.1
2026-06-10T00:00:00Z,0.1
2026-06-10T06:00:00Z,0.1
2026-06-10T12:00:00Z,0.1
2026-06-10T18:00:00Z,0.1
2026-06-11T00:00:00Z,0.1
2026-06-11T06:00:00Z,0.1
2026-06-11T12:00:00Z,0.1
2026-06-11T18:00:00Z,0.1
2026-06-12T00:00:00Z,0.1
2026-06-12T06:00:00Z,0.1
2026-06-12T12:00:00Z,0.1
2026-06-12T18:00:00Z,0.1
2026-06-13T00:00:00Z,0.1
2026-06-13T06:00:00Z,0.1
2026-06-13T12:00:00Z,0.1
2026-06-13T18:00:00Z,0.1
2026-06-14T00:00:00Z,0.1
2026-06-14T06:00:00Z,0.1
2026-06-14T12:00:00Z,0.1
2026-06-14T18:00:00Z,0.1
2026-06-15T00:00:00Z,0.1
2026-06-15T06:00:00Z,0.1
2026-06-15T12:00:00Z,0.1
2026-06-15T18:00:00Z,0.1
2026-06-16T00:00:00Z,0.1
2026-06-16T06:00:00Z,0.1
2026-06-16T08:10:00Z,0.1
2026-06-16T08:11:00Z,0.1
2026-06-16T08:12:00Z,0.1
2026-06-16T08:13:00Z,0.1
2026-06-16T08:14:00Z,0.1
2026-06-16T08:15:00Z,0.1
2026-06-16T08:16:00Z,7.8
2026-06-16T08:17:00Z,7.6
2026-06-16T08:18:00Z,7.6
2026-06-16T08:19:00Z,7.8
2026-06-16T08:20:00Z,8.0
2026-06-16T08:21:00Z,8.2
2026-06-16T08:22:00Z,8.4
2026-06-16T08:23:00Z,8.4
2026-06-16T08:24:00Z,8.2
2026-06-16T08:25:00Z,8.0
2026-06-16T08:26:00Z,7.8
2026-06-16T08:27:00Z,7.6
2026-06-16T08:28:00Z,7.6
2026-06-16T08:29:00Z,7.8
2026-06-16T08:30:00Z,8.0
2026-06-16T08:31:00Z,8.2
2026-06-16T08:32:00Z,8.4
2026-06-16T08:33:00Z,8.4
2026-06-16T08:34:00Z,8.2
2026-06-16T08:35:00Z,8.0
2026-06-16T08:36:00Z,7.8
2026-06-16T08:37:00Z,7.6
2026-06-16T08:38:00Z,7.6
2026-06-16T08:39:00Z,7.8
2026-06-16T08:40:00Z,8.0
2026-06-16T08:41:00Z,4.0
2026-06-16T08:42:00Z,0.1
2026-06-16T08:43:00Z,0.1
2026-06-16T08:44:00Z,0.1
2026-06-16T08:45:00Z,0.1
2026-06-16T08:46:00Z,0.1
2026-06-16T08:47:00Z,0.1
2026-06-16T08:48:00Z,0.1
2026-06-16T08:49:00Z,0.1
2026-06-16T08:50:00Z,0.1
2026-06-16T12:00:00Z,0.1
2026-06-16T18:00:00Z,0.1
